name,X,Y,Z,U,V,W,e_x,e_y,e_z,e_u,e_v,e_w,age,e_age,junk
#Gagne+18Apj856 tables 9+1
ROPH,   124.79,-15.23, 37.60, -5.9, -13.5,  -7.9,  1.33, 0.51,0.66,1.3, 4.7, 4.3,   1.0,  1,
TAU,   -116.3,   6.7, -35.9, -14.3,  -9.3,  -8.8, 11.4, 10.8,10.1, 3.1, 4.5, 3.4,   1.5,  1,
EPSC,    49.9, -84.8, -25.6,  -9.9, -19.3,  -9.7,  2.5,  3.6, 4.0, 1.6, 2.2, 2.0,   4.0,  1.0,
CRA,    132.45, -0.21,-42.43, -3.7, -15.7,  -8.8,  3.71, 0.75,2.04,1.3, 2.2, 2.2,   4.5,  0.5,
TWA,     14.4, -47.7,  22.7, -11.6, -17.9,  -5.6, 12.2,  9.7, 3.9, 1.8, 1.8, 1.6,  10,    3,
USCO,   121.2, -17.0,  48.9,  -4.9, -14.2,  -6.5, 17.0,  8.2, 8.9, 3.7, 3.2, 2.3,  10,    3,
UCRA,   142.1,  -1.2, -39.2,  -3.7, -17.1,  -8.0,  7.3,  2.4, 5.9, 3.0, 1.8, 1.2,  10,    3,
#118TAU,-102.3,  -4.8,  -9.9, -12.8, -19.1,  -9.2, 12.7,  2.4, 1.8, 2.1, 2.8, 1.6,  10,    5,
ETAC,    33.65,-81.36,-34.81,-10.0, -22.3, -11.7,  0.65, 0.98,0.71,1.6, 2.8, 1.8,  11,    3,
LCC,     54.3, -94.2,   5.8,  -7.8, -21.5,  -6.2, 11.9, 12.4,13.7, 2.7, 3.8, 1.8,  15,    3,
UCL,    107.5, -60.9,  26.5,  -4.7, -19.7,  -5.2, 21.0, 19.6,13.5, 3.8, 3.0, 1.7,  16,    2,
THOR,   -88.4, -25.7, -23.9, -12.8, -18.8,  -9.0,  4.1,  6.9, 5.1, 2.2, 2.2, 2.0,  22,    4,
BPMG,     4.1,  -6.7, -15.7, -10.9, -16.0,  -9.0, 29.3, 14.0, 9.0, 2.2, 1.2, 1.0,  24,    3,
OCT,      4.0, -96.9, -59.7, -13.7,  -3.3, -10.1, 78.3, 25.8, 8.8, 2.4, 1.3, 1.4,  35,    5,
COL,    -25.9, -25.9, -21.4, -11.90,-21.28, -5.66,12.1, 23.0,17.8, 1.04,1.29,0.75, 42,    5,
ARG,      4.9, -43.3,  -7.8, -22.8,  14.1,  -5.0, 28.9, 41.3,19.2, 1.2, 2.0, 1.7,  45,    5,
CAR,      6.7, -50.5, -15.5, -10.66,-21.92, -5.48,10.0, 18.1,12.6, 0.67,1.02,1.01, 45,    8,
THA,      5.4, -20.1, -36.1,  -9.79,-20.94, -0.99,19.4, 12.4, 3.8, 0.87,0.79,0.72, 45,    4,
IC2602,  47.4,-137.6, -12.6,  -8.22,-20.60, -0.58, 1.5,  5.4, 1.1, 1.18,2.61,0.65, 46,    5,
IC2391,   1.9,-148.1, -18.0, -23.04,-14.89, -5.48, 1.3,  6.4, 1.4, 1.10,3.40,0.78, 50,    5,
#PL8,     10.6,-124.5, -13.9, -11.01,-22.89, -3.59, 7.0, 11.6, 4.5, 1.15,1.96,0.74, 60,   20,
MTAU,  -130.7,   0.2, -79.7, -14.2, -24.2,  -6.2, 21.9, 20.8,12.4, 3.0, 1.7, 2.4,  62,   7,
#VOLCAR,21.6, -80.3, -14.3, -16.1, -28.1,  -0.8,  3.9,  5.0, 4.5, 1.4, 1.4, 1.0,  89,   6,
#PLE,  -118.9,  28.5, -54.4,  -6.7, -28.0, -14.0,  7.7,  3.5, 4.2, 1.7, 1.8, 1.2, 112,    5,
#PIS_ERI,-23.4,  7.6, -94.7,  -9.0,  -3.6, -18.7, 57.8, 65.6,11.4, 2.3, 1.3, 1.7, 120,   50,
#ABDMG,  -6.0,  -7.2,  -8.8,  -7.2, -27.6, -14.2, 21.4, 20.3,16.3, 1.4, 1.0, 1.8, 150,   30,
#CARN,    0.7,  -28.1, -4.3, -25.3, -18.1,  -2.3,  7.8, 20.8,17.3, 3.2, 1.9, 2.0, 200,    0,
#UMA,    -7.5,   9.9,  21.9,  14.8,   1.8, -10.2,  3.1,  1.5, 1.1, 1.0, 1.2, 2.6, 414,   23,
#XFOR,  -27.1, -46.3, -84.2, -12.54,-22.24, -6.26, 4.7,  3.8, 4.4, 0.96,1.41,2.21,500,  100,
#CBER,   -6.0,   -5.1, 84.9,  -2.30, -5.51, -0.61, 3.3,  3.3, 4.5, 0.53,0.44,0.71,562,   90,
#HYA,   -38.5,   0.8, -15.8, -42.27,-18.79, -1.47, 7.4,  4.4, 2.9, 2.01,0.94,1.10,750,  100,
#PRAESEPE, -140.9, -69.0, 100.2, -43.1, -20.6, -9.8, 4.5, 3.4, 3.5, 1.3, 1.0, 1.2,
