#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-16T11:39:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e9842fbafbf	
#INFO	-out.max=1000	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/633/A51&tab:{J/A+A/633/A51/handbook}&key:source=J/A+A/633/A51&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/633/A51/handbook
#-order=I
#-out=Name
#-out=GLON
#-out=GLAT
#-out=d16
#-out=d50
#-out=d84
#
#
#RESOURCE=yCat_36330051
#Name: J/A+A/633/A51
#Title: Distances to molecular clouds in SFR (Zucker+, 2020)
#Coosys	G:	galactic
#Table	J_A_A_633_A51_handbook:
#Name: J/A+A/633/A51/handbook
#Title: Star Formation Handbook Cloud Distances (table A1)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a17)	Cloud/star-forming region associated with sightline	[ucd=meta.id.assoc;obs.field]
#Column	GLON	(F5.1)	Galactic longitude of center of sightline	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude of center of sightline	[ucd=pos.galactic.lat]
#Column	d16	(I4)	16th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	d50	(I4)	50th percentile of the samples for the cloud distance D_c	[ucd=pos.distance]
#Column	d84	(I4)	84th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
RAJ2000;DEJ2000;Name;GLON;GLAT;d16;d50;d84
#deg;deg; ;deg;deg;pc;pc;pc
#-------;--------;-----------------;-----;-----;----;----;----
269.5462;-05.5500;Aquila_Rift      ;021.8;+09.2; 266; 278; 289
265.3954;-08.9942;Aquila_Rift      ;016.7;+11.1; 204; 208; 215
264.7861;-06.8385;Aquila_Rift      ;018.3;+12.7; 249; 254; 258
267.0286;-04.5071;Aquila_Rift      ;021.5;+11.9; 277; 280; 283
260.2646;-06.7838;Aquila_Rift      ;016.0;+16.6; 158; 163; 166
302.5332;-03.5411;Aquila_S         ;038.9;-19.1; 120; 123; 126
300.6697;-02.1373;Aquila_S         ;039.3;-16.8; 125; 128; 131
300.6283;-03.7318;Aquila_S         ;037.8;-17.5; 134; 135; 137
298.0500;-03.4869;Aquila_S         ;036.8;-15.1; 140; 143; 146
250.8110;-49.0520;Ara              ;336.7;-02.0;1049;1064;1076
250.1650;-49.0798;Ara              ;336.4;-01.7;1032;1046;1061
076.4080;-04.0107;CB28             ;204.0;-25.3; 369; 398; 430
080.4594;-03.7339;CB29             ;205.8;-21.6; 364; 374; 384
086.7299;+20.9332;CB34             ;187.0;-03.9;1303;1322;1335
108.8873;-10.9385;CMa_OB1          ;225.4;+00.3;1264;1268;1269
108.2472;-10.8165;CMa_OB1          ;225.0;-00.2;1264;1266;1269
105.7313;-09.7349;CMa_OB1          ;222.9;-01.9;1163;1169;1191
108.0116;-10.3734;CMa_OB1          ;224.5;-00.2;1249;1262;1269
064.7056;+36.9699;California       ;162.5;-09.5; 430; 436; 447
064.0034;+38.2296;California       ;161.2;-09.0; 436; 454; 471
067.2669;+37.1544;California       ;163.8;-07.9; 457; 466; 484
086.9270;+64.4048;Cam              ;148.8;+17.8; 355; 368; 378
082.6071;+67.7895;Cam              ;144.8;+17.8; 215; 220; 232
083.8972;+66.6522;Cam              ;146.1;+17.7; 227; 235; 244
086.3267;+64.7025;Cam              ;148.4;+17.7; 355; 365; 383
083.3626;+65.9953;Cam              ;146.6;+17.2; 205; 215; 226
159.2751;-58.6378;Carina           ;286.2;-00.2;2511;2558;2603
161.7207;-60.3345;Carina           ;288.1;-01.1;2404;2439;2534
159.8161;-58.3377;Carina           ;286.3;+00.2;2460;2501;2551
160.9483;-59.5662;Carina           ;287.4;-00.6;2423;2492;2532
319.5841;+74.6682;Cepheus          ;110.1;+17.4; 328; 337; 346
324.0546;+64.8251;Cepheus          ;104.0;+09.4;1036;1045;1069
334.9499;+71.6210;Cepheus          ;111.5;+12.2; 941; 958; 969
315.0268;+73.4742;Cepheus          ;108.3;+17.6; 339; 346; 357
334.3465;+63.9978;Cepheus          ;107.0;+06.0; 895; 901; 908
320.1764;+66.0458;Cepheus          ;103.7;+11.4; 858; 867; 871
314.6578;+68.3102;Cepheus          ;104.0;+14.5; 327; 341; 359
335.8076;+64.2959;Cepheus          ;107.7;+05.9; 824; 850; 866
311.6372;+77.7959;Cepheus          ;111.5;+20.8; 311; 331; 342
335.1678;+76.8651;Cepheus          ;114.6;+16.5; 341; 346; 350
319.7854;+73.9787;Cepheus          ;109.6;+16.9; 338; 344; 350
333.0036;+75.7633;Cepheus          ;113.5;+15.9; 332; 336; 339
337.2671;+64.2202;Cepheus          ;108.2;+05.5; 883; 891; 901
325.7768;+69.4893;Cepheus          ;107.7;+12.4; 957; 961; 968
334.8000;+78.1502;Cepheus          ;115.3;+17.6; 352; 358; 364
315.0638;+78.7932;Cepheus          ;112.8;+20.8; 362; 375; 386
314.3326;+77.7422;Cepheus          ;111.8;+20.3; 359; 364; 370
311.1421;+72.0717;Cepheus          ;106.4;+17.7; 372; 377; 382
336.0933;+66.5077;Cepheus          ;109.0;+07.7; 801; 816; 840
329.3395;+75.8214;Cepheus          ;112.8;+16.5; 335; 344; 351
315.8950;+67.3017;Cepheus          ;103.5;+13.5; 355; 359; 364
329.5443;+66.7491;Cepheus          ;107.0;+09.4; 977; 986; 995
332.2026;+71.4968;Cepheus          ;110.7;+12.6; 966; 989; 993
312.3454;+74.1453;Cepheus          ;108.4;+18.6; 315; 332; 363
338.5228;+66.0502;Cepheus          ;109.6;+06.8; 865; 881; 895
327.0441;+69.8763;Cepheus          ;108.3;+12.4; 912; 915; 918
319.4410;+69.2538;Cepheus          ;105.9;+13.8; 939; 951; 957
329.3457;+80.6687;Cepheus          ;116.1;+20.2; 341; 349; 357
194.4541;-77.0672;Chamaeleon       ;303.3;-14.2; 186; 190; 194
168.6420;-77.1386;Chamaeleon       ;297.5;-15.3; 199; 210; 225
193.2197;-79.5716;Chamaeleon       ;303.0;-16.7; 153; 161; 167
227.2456;-61.8686;Circinus         ;318.4;-03.2; 680; 683; 684
225.1595;-63.2126;Circinus         ;316.9;-03.9; 672; 675; 676
192.7827;-65.4717;Coalsack         ;302.9;-02.6; 182; 188; 196
189.1772;-65.4279;Coalsack         ;301.4;-02.6; 176; 182; 187
189.8233;-59.7356;Coalsack         ;301.4;+03.1; 190; 192; 194
192.5869;-61.0715;Coalsack         ;302.8;+01.8; 178; 187; 199
192.7962;-59.7717;Coalsack         ;302.9;+03.1; 186; 191; 195
187.0598;-59.6396;Coalsack         ;300.0;+03.1; 185; 193; 195
288.4684;-36.9581;Corona_Australis ;000.8;-20.1; 149; 155; 160
285.2282;-37.3192;Corona_Australis ;359.5;-17.8; 142; 147; 152
